"Gene.Names","Entry","phytoID","phytoAnnotation","Protein.names","Gene.Ontology.IDs","Gene.Ontology..biological.process.","Gene.Ontology..cellular.component.","Gene.Ontology..GO.","Gene.Ontology..molecular.function.","WT 32C vs WT 20C (mean)","WT 32C vs WT 20C (lfc)","WT 32C vs WT 20C (padj)","TS 32C vs TS 20C (mean)","TS 32C vs TS 20C (lfc)","TS 32C vs TS 20C (padj)","TS 20C vs WT 20C (mean)","TS 20C vs WT 20C (lfc)","TS 20C vs WT 20C (padj)","TS 32C vs WT 32C (mean)","TS 32C vs WT 32C (lfc)","TS 32C vs WT 32C (padj)"
"PHYPA_000950","A0A2K1L915","Pp3c1_21570","","Uncharacterized protein","","","","","",39.7287661503764,-0.2294323139829,0.446981636138814,97.9211999593259,0.0975169959331824,0.769205153278844,67.3501340461193,0.00551153183124751,0.990826461295072,70.6181357819936,1.50049593063137,0.000491417519003104
"PHYPA_001067","A0A2K1L9F5","Pp3c1_23449","","Peptidase A1 domain-containing protein","","","","","",31.3884863723137,0.0714026312453155,0.836057708156545,73.7028685837369,0.58204849087576,0.0591274455823263,42.7208037424845,0.0082851890678612,0.755016214279656,62.3650178038917,1.39474414192329,8.93810817464723e-06
"PHYPA_001068","A0A2K1L9F6","Pp3c1_23460","","Uncharacterized protein","","","","","",99.3541671099505,0.229369607144757,0.413005048137687,205.41021413583,0.965229058255336,0.00309312128121203,110.459397083018,0.0137528082209799,0.718083823969205,193.910826050298,1.2464321685404,9.83501786193574e-05
"PHYPA_001252","A0A2K1L9X8","Pp3c1_27440","(1 of 3) PTHR31194//PTHR31194:SF9 - SHN  SHINE , DNA BINDING / TRANSCRIPTION FACTOR","AP2-like ethylene-responsive transcription factor","GO:0003677; GO:0003700; GO:0005634","","nucleus [GO:0005634]","nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]","DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]",62.0679539281962,-0.335317857941434,0.245116950252182,140.688000535591,0.106479315200787,0.725287759224165,104.782433024602,0.637767342791082,0.119530552015014,98.5834971302226,1.48963662544777,3.76473691049521e-09
"PHYPA_001759","Q84V41","Pp3c1_37980","(1 of 2) PTHR31692:SF10 - EXPANSIN-LIKE B1","Beta-expansin 2","GO:0005576; GO:0009653; GO:0019953","anatomical structure morphogenesis [GO:0009653]; sexual reproduction [GO:0019953]","extracellular region [GO:0005576]","extracellular region [GO:0005576]; anatomical structure morphogenesis [GO:0009653]; sexual reproduction [GO:0019953]","",753.948113613744,-0.885309957743132,0.000343262243649864,1360.57824655579,-0.175794816988991,0.52846219770824,1253.48569839454,0.0117900763426423,0.831734057537628,870.320669786859,1.28744368579828,1.73405900719622e-13
"PHYPA_001922","A0A2K1LBU0","Pp3c1_41710","(1 of 2) PTHR11214//PTHR11214:SF141 - BETA-1,3-N-ACETYLGLUCOSAMINYLTRANSFERASE","Hexosyltransferase (EC 2.4.1.-)","GO:0000139; GO:0006486; GO:0016758","protein glycosylation [GO:0006486]","Golgi membrane [GO:0000139]","Golgi membrane [GO:0000139]; hexosyltransferase activity [GO:0016758]; protein glycosylation [GO:0006486]","hexosyltransferase activity [GO:0016758]",7.73147313530671,-0.176285839037863,0.4612314469001,65.6799094284482,0.0433076873581228,0.912066031800274,37.0655230948255,2.40768338970281,0.000772765343418489,36.7248348078724,3.55434977959518,8.83223370988313e-12
"PHYPA_002070","A0A2K1KZS8","Pp3c2_2040","","Uncharacterized protein","","","","","",41.4001297473461,2.43775204015077,3.20076931203716e-08,110.75809443577,2.6502383174065,1.85882379059635e-12,20.6964448280361,0.00962431484268333,0.295898655648746,130.60087981026,1.31030930276774,0.000348699179506577
"PHYPA_002172","A0A2K1L035","Pp3c2_3800","(1 of 19) PF14009 - Domain of unknown function (DUF4228) (DUF4228)","Uncharacterized protein","","","","","",85.6559106457555,-0.773696631243479,0.00890839376801193,133.719531908828,0.0391188206336446,0.921032850500807,123.249308488322,0.00434585981966145,0.999993322508911,96.7298021253977,1.10880517133891,0.000282953934167662
"PHYPA_002263","A0A2K1L0C8","Pp3c2_5440","","Uncharacterized protein","","","","","",99.9239380424278,-0.476910142866622,0.0649929138300339,180.813818150641,-0.0801917940116815,0.813716641057823,156.402340602489,0.0190639801520498,0.321143166818186,125.175264753112,1.0415611555798,0.000190799559157115
"PHYPA_002777","A9RVD5","Pp3c2_16510","","Uncharacterized protein","","","","","",32.44064462182,-0.16175588410677,0.580615629213224,75.6451578559746,0.658677994263441,0.0918149137450199,43.9231841347486,0.00231061934438591,0.999993322508911,64.2075347522861,1.74409597131263,0.000264780070927866
"PHYPA_003396","A0A2K1L3L1","Pp3c2_29750","(1 of 4) PF07911 - Protein of unknown function (DUF1677) (DUF1677)","Uncharacterized protein","","","","","",24.6090956284438,-2.7604792939305,3.25366422801987e-06,70.9503012988935,-1.35470133163366,0.000707344298640631,75.8905425051916,0.959730070121286,0.0815177259567195,20.7219903721088,2.49373664870155,5.49823871511736e-05
"PHYPA_003863","A0A2K1KSY7","Pp3c3_1650","","Uncharacterized protein","","","","","",70.5762051969007,0.0251826792892143,0.947915504229528,155.294752040739,0.443808682910572,0.103818039387692,98.8910647203704,0.685070110239932,0.0419175801548516,127.161207458994,1.2947742949623,1.21852096886582e-05
"PHYPA_004148","A9SZ47","Pp3c3_8540","(1 of 11) PTHR18860 - 14-3-3 PROTEIN","14-3-3 domain-containing protein","GO:0005737; GO:0007165","signal transduction [GO:0007165]","cytoplasm [GO:0005737]","cytoplasm [GO:0005737]; signal transduction [GO:0007165]","",68.5706695808727,-0.0106407474139227,0.976987610509459,132.352735025189,0.438717820573894,0.193465749292982,78.9232095186697,0.00137607443907819,0.999993322508911,121.776697166597,1.1656109991738,0.00968507267384112
"PHYPA_004348","A9T3X7","Pp3c3_12530","(1 of 33) 4.1.1.39 - Ribulose-bisphosphate carboxylase / RuBP carboxylase","Ribulose bisphosphate carboxylase small subunit, chloroplastic (RuBisCO small subunit)","GO:0009507; GO:0009853; GO:0016984; GO:0019253","photorespiration [GO:0009853]; reductive pentose-phosphate cycle [GO:0019253]","chloroplast [GO:0009507]","chloroplast [GO:0009507]; ribulose-bisphosphate carboxylase activity [GO:0016984]; photorespiration [GO:0009853]; reductive pentose-phosphate cycle [GO:0019253]","ribulose-bisphosphate carboxylase activity [GO:0016984]",52.8364164118697,1.93320503042171,3.37480730769811e-05,349.467817350616,1.83389999999221,6.65493887928873e-05,80.0457578810163,2.6720277567462,3.2156865191121e-07,320.999304598258,2.44730215982958,0.000276681966595907
